"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000248223",361.909273324036,-2.80329634974846,0.394898240541463,-7.09878156434613,1.25861552775987e-12,1.22362601608815e-08
"ENSG00000260807",27.6470680806617,1.68293720947158,0.242687476743237,6.93458612721134,4.07412134368817e-12,1.98043038516682e-08
"ENSG00000081237",92.0007712195084,5.72340844081305,0.920689922647204,6.21643432824471,5.08579088966618e-10,1.64813530097782e-06
"ENSG00000157106",17.621832604464,4.05436202227379,0.694143338248635,5.8408138476171,5.19464237644432e-09,1.26255782959479e-05
"ENSG00000138081",3.14196525706594,4.64771751314656,0.809804044690108,5.73931131070742,9.50623327608106e-09,1.8483919982012e-05
"ENSG00000005810",9.92696104196988,4.89764796145794,0.863885631857287,5.66932448098294,1.43361630696509e-08,2.32293628938576e-05
"ENSG00000115956",45.7796140619732,3.62104713778712,0.662742602618778,5.46373075079047,4.66230532631711e-08,5.66586654780686e-05
"ENSG00000118564",8.34089738388636,4.65751904282006,0.851805258870936,5.46782142316611,4.55600538230036e-08,5.66586654780686e-05
"ENSG00000125772",7.79086069696491,4.36948630982489,0.81075633921477,5.38939518383144,7.06951971391584e-08,6.08765717873965e-05
"ENSG00000149269",4.99945021718407,5.10445701904781,0.94762033399278,5.38660562246515,7.18007422084495e-08,6.08765717873965e-05
"ENSG00000175471",4.85229027535529,4.87333323958913,0.898241289322184,5.4254166419655,5.78195090882395e-08,6.08765717873965e-05
"ENSG00000198604",12.7898313981178,4.5948287212805,0.854307683724455,5.37842373282751,7.51408003958813e-08,6.08765717873965e-05
"ENSG00000173193",13.1008941598447,4.57698804793982,0.862063288370517,5.30934110022398,1.10022256471622e-07,7.64025983869364e-05
"ENSG00000188906",12.8117100546116,3.58977610600776,0.675849014303937,5.31150601692436,1.08722980432168e-07,7.64025983869364e-05
"ENSG00000101596",21.1509774872776,3.90813288669339,0.739586298246536,5.28421483193925,1.26245033256326e-07,8.18236142212002e-05
"ENSG00000239002",36.9661057381203,3.37096273774184,0.640267706803145,5.26492700150856,1.40245071822386e-07,8.52164117660774e-05
"ENSG00000134313",8.01442623575624,5.25518665796847,1.00464788033112,5.23087418074921,1.68710312147354e-07,9.43495506740469e-05
"ENSG00000251562",833.24176716073,2.58363507577442,0.494528864370004,5.2244373623485,1.74685446629587e-07,9.43495506740469e-05
"ENSG00000034677",3.21362267368528,4.44211240922893,0.859640524412768,5.16740693706058,2.37364087716867e-07,0.000121455455830704
"ENSG00000130066",45.0411582266848,3.00129268259437,0.585812051939776,5.12330306735123,3.00229196324084e-07,0.000145941412333137
"ENSG00000135365",3.86724567629833,4.54654588225799,0.894298303511814,5.0839254244408,3.69713148419722e-07,0.000156276140388545
"ENSG00000198589",2.30627589979999,4.57325195567105,0.899123643265541,5.08634378589066,3.6503211683049e-07,0.000156276140388545
"ENSG00000210112",180.632625755338,-2.66816746461906,0.523445624620374,-5.09731544046076,3.44504012057716e-07,0.000156276140388545
"ENSG00000205413",7.97992718077771,4.08152680593052,0.813634490835332,5.01641320753272,5.26450419413104e-07,0.000213256290730592
"ENSG00000139218",6.9818516600952,4.2005324850426,0.839965304763705,5.00084046474309,5.70809316985984e-07,0.000221976327189509
