"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000100731",12.6975937730446,-3.3150205238486e-06,0.00144269377189907,7.10710378196511e-06,0.0455138926197046
"ENSG00000166579",5.269464575222,-1.49553936607842e-06,0.00144269199772108,7.62226431257498e-05,0.0701093331531867
"ENSG00000168781",5.36882446755216,-1.45487601376605,0.52254744805221,8.40113291038572e-05,0.0701093331531867
"ENSG00000174718",28.1705646854257,-2.21959114073013e-06,0.00144269241186639,2.81614696792292e-05,0.0701093331531867
"ENSG00000198712",69.9477740247839,-0.780107113130325,0.433058711705277,7.70891748947425e-05,0.0701093331531867
"ENSG00000234608",1.78776359023313,-9.29848005190511e-06,0.00144270250962392,5.99281969854223e-05,0.0701093331531867
"ENSG00000265185",2.43830913313246,-4.32365793175677e-06,0.00144269151030007,5.41615169097525e-05,0.0701093331531867
"ENSG00000272631",27.39981717023,-3.05466560043147e-06,0.00144269416985134,8.7581927736648e-05,0.0701093331531867
"ENSG00000133794",2.1269230998304,-3.02531823797308e-06,0.0014426921750525,0.000116113498286265,0.0826212047805823
"ENSG00000076685",6.00034595261924,1.28007425935593e-06,0.00144269266812534,0.000273358554321536,0.0925000818193255
"ENSG00000126247",2.21834768168996,-5.68874939712782e-06,0.00144269741353598,0.000198708521272791,0.0925000818193255
"ENSG00000131504",17.4412228972385,-5.92904950086065e-06,0.00144269742012299,0.000251129014481758,0.0925000818193255
"ENSG00000143546",33.7102487305922,-5.56820448686234e-06,0.00144268896826235,0.000221449019115735,0.0925000818193255
"ENSG00000163814",1.69262867886001,-7.33706372162742e-06,0.00144269923749798,0.0002598768966888,0.0925000818193255
"ENSG00000198786",359.360304626032,-5.54189951616167e-06,0.00144268239617364,0.000274438094092315,0.0925000818193255
"ENSG00000198840",30.0828763482722,-1.16377395198345,0.367137454927787,0.000263565702852933,0.0925000818193255
"ENSG00000198899",64.5180840091004,-0.562512305720183,0.447978691869953,0.000270211036136392,0.0925000818193255
"ENSG00000198938",105.376809227308,-0.922331087033681,0.307994905183506,0.000192675221446769,0.0925000818193255
"ENSG00000264112",3.00065253710363,-5.54076455573219e-06,0.00144269584194378,0.00025322698273415,0.0925000818193255
